State,Population,AreaInSqKm,DensityPerSqKm
Andhra Pradesh,49386799,162968,303
Arunachal Pradesh,1382611,,
Assam,31169272,78438,397
Bihar,103804637,94163,1102
Chattisgarh,25540196,135191,189
Goa,1457723,3702,394
Gujarat,60383628,196024,308
Haryana,25353081,44212,573
Himachal Pradesh,6864602,55673,123
Jammu and Kashmir,12548926,222236,57
Jharkhand,32966238,79714,414
Karnataka,61130704,191791,319
Kerala,33387677,38863,859
Madhya Pradesh,72597565,308245,236
Maharashta,112372972,307713,365
Manipur,2721756,22327,122
Meghalaya,2964007,22429,132
Mizoram,1091014,21081,52
Nagaland,1980602,16579,119
Odisha,41947358,155707,269
Punjab,27704236,50362,550
Rajasthan,68621012,342239,201
Sikkim,607688,7096,86
Tamil Nadu,72138958,130058,555
Telangana,35286757,114840,307
Tripura,3671032,10486,350
Uttar Pradesh,199812341,240928,828
Uttarakhand,10116752,53483,189
West Bengal,91347736,88752,1029
